Slice,Iteration,Step,Throughput,Latency,PacketLoss,txPower,channelWidth
eMBB,5,15,91.33333333,68.53053915,6445.5,15,80
eMBB,5,16,91.33333333,51.42302218,6445.5,15,80
eMBB,5,17,91.33333333,74.78834704,6445.5,15,80
eMBB,5,18,91.33333333,57.43636257,6445.5,15,80
eMBB,5,19,91.33333333,73.74257826,6445.5,15,80
eMBB,5,20,91.33333333,73.04777054,6445.5,15,80
eMBB,6,1,90.33333333,65.64778321,0,15,20
eMBB,6,2,90.33333333,93.95285458,846.6666667,15,40
eMBB,6,3,90.33333333,90.55548042,2221.166667,15,80
eMBB,6,4,90.33333333,57.9624743,4993.5,15,80
eMBB,6,5,90.33333333,68.70955302,5638.166667,15,80
eMBB,6,6,90.33333333,65.80185552,5953.666667,15,80
eMBB,6,7,90.33333333,60.77017753,5953.666667,15,80
eMBB,6,8,90.33333333,98.58961512,6218.166667,15,80
eMBB,6,9,90.33333333,64.09446641,6218.166667,15,80
eMBB,6,10,90.33333333,88.51813038,6218.166667,15,80
eMBB,6,11,90.33333333,98.47391618,6218.166667,15,80
eMBB,6,12,90.33333333,69.0584409,6218.166667,15,80
eMBB,6,13,90.33333333,66.43586852,6218.166667,15,80
eMBB,6,14,90.33333333,86.04499863,6218.166667,15,80
eMBB,6,15,90.33333333,59.1049586,6218.166667,15,80
eMBB,6,16,90.33333333,80.35942944,6218.166667,15,80
eMBB,6,17,90.33333333,62.9403239,6218.166667,15,80
eMBB,6,18,90.33333333,71.40268574,6218.166667,15,80
eMBB,6,19,90.33333333,59.83569582,6218.166667,15,80
eMBB,6,20,90.33333333,97.76647532,6218.166667,15,80
eMBB,7,1,88,89.89520703,0,15,20
eMBB,7,2,88,72.43781988,860,15,40
eMBB,7,3,88,78.77795057,1803.333333,15,80
eMBB,7,4,88,98.92325476,2668.333333,15,80
eMBB,7,5,88,99.92622864,4048,15,80
eMBB,7,6,88,51.25064232,4597.666667,15,80
eMBB,7,7,88,77.59855769,4687.166667,15,80
eMBB,7,8,88,59.63756509,4687.166667,15,80
eMBB,7,9,88,96.62230236,4687.166667,15,80
