Slice,Iteration,Step,Throughput,Latency,PacketLoss,txPower,channelWidth
eMBB,1,1,94.66666666666667,0.0,0.0,15,20
eMBB,1,2,94.66666666666667,803.85,865.6666666666666,15,40
eMBB,1,3,94.66666666666667,1607.7333333333333,945.1666666666666,15,80
eMBB,1,4,94.66666666666667,2411.65,1513.1666666666667,15,80
eMBB,1,5,94.66666666666667,3215.516666666667,3114.3333333333335,15,80
eMBB,1,6,94.66666666666667,4019.45,4032.1666666666665,15,80
eMBB,1,7,94.66666666666667,4823.333333333334,5308.166666666667,15,80
eMBB,1,8,94.66666666666667,5627.233333333334,5397.833333333333,15,80
eMBB,1,9,94.66666666666667,6431.116666666667,5599.666666666667,15,80
eMBB,1,10,94.66666666666667,7235.033333333333,6177.166666666667,15,80
eMBB,1,11,94.66666666666667,8038.916666666667,6842.833333333333,15,80
eMBB,1,12,94.66666666666667,8842.833333333332,7275.333333333333,15,80
eMBB,1,13,94.66666666666667,9646.716666666667,8688.333333333334,15,80
eMBB,1,14,94.66666666666667,10450.6,10287.833333333334,15,80
eMBB,1,15,94.66666666666667,11254.516666666666,10287.833333333334,15,80
eMBB,1,16,94.66666666666667,12058.416666666668,11459.0,15,80
eMBB,1,17,94.66666666666667,12862.316666666668,11459.0,15,80
eMBB,1,18,94.66666666666667,13666.2,11459.0,15,80
eMBB,1,19,94.66666666666667,14470.1,11459.0,15,80
eMBB,1,20,94.66666666666667,14470.1,11459.0,15,80
eMBB,2,1,87.0,0.0,0.0,15,20
eMBB,2,2,87.0,738.7333333333333,857.5,15,40
eMBB,2,3,87.0,1477.5166666666667,2552.0,15,80
eMBB,2,4,87.0,2216.333333333333,3643.3333333333335,15,80
eMBB,2,5,87.0,2955.116666666667,3846.3333333333335,15,80
eMBB,2,6,87.0,3693.9333333333334,4158.0,15,80
eMBB,2,7,87.0,4432.716666666666,5750.5,15,80
eMBB,2,8,87.0,5171.5,5750.5,15,80
eMBB,2,9,87.0,5910.266666666666,5750.5,15,80
eMBB,2,10,87.0,6649.083333333333,5750.5,15,80
eMBB,2,11,87.0,7387.883333333333,5750.5,15,80
eMBB,2,12,87.0,8126.666666666667,5750.5,15,80
eMBB,2,13,87.0,8865.483333333334,5750.5,15,80
eMBB,2,14,87.0,9604.25,5750.5,15,80
eMBB,2,15,87.0,10343.033333333333,5750.5,15,80
eMBB,2,16,87.0,11081.85,5750.5,15,80
eMBB,2,17,87.0,11820.616666666667,5750.5,15,80
eMBB,2,18,87.0,12559.433333333332,5750.5,15,80
eMBB,2,19,87.0,13298.233333333334,5750.5,15,80
eMBB,2,20,87.0,13298.233333333334,5750.5,15,80
eMBB,3,1,89.66666666666667,0.0,0.0,15,20
eMBB,3,2,89.66666666666667,761.4,869.0,15,40
eMBB,3,3,89.66666666666667,1522.8166666666666,5347.833333333333,15,80
eMBB,3,4,89.66666666666667,2284.266666666667,5713.333333333333,15,80
eMBB,3,5,89.66666666666667,3045.7,7068.333333333333,15,80
eMBB,3,6,89.66666666666667,3807.1333333333337,7068.333333333333,15,80
eMBB,3,7,89.66666666666667,4568.566666666667,8216.333333333334,15,80
eMBB,3,8,89.66666666666667,5330.033333333334,8216.333333333334,15,80
eMBB,3,9,89.66666666666667,6091.45,8216.333333333334,15,80
eMBB,3,10,89.66666666666667,6852.9,8216.333333333334,15,80
eMBB,3,11,89.66666666666667,7614.3166666666675,8216.333333333334,15,80
eMBB,3,12,89.66666666666667,8375.766666666666,8216.333333333334,15,80
eMBB,3,13,89.66666666666667,9137.2,8216.333333333334,15,80
eMBB,3,14,89.66666666666667,9898.666666666668,8216.333333333334,15,80
eMBB,3,15,89.66666666666667,10660.083333333332,8216.333333333334,15,80
eMBB,3,16,89.66666666666667,11421.516666666666,8216.333333333334,15,80
eMBB,3,17,89.66666666666667,12182.966666666667,8216.333333333334,15,80
eMBB,3,18,89.66666666666667,12944.4,8216.333333333334,15,80
eMBB,3,19,89.66666666666667,13705.85,8216.333333333334,15,80
eMBB,3,20,89.66666666666667,13705.85,8216.333333333334,15,80
eMBB,4,1,88.83333333333333,0.0,0.0,15,20
eMBB,4,2,88.83333333333333,754.3,865.6666666666666,15,40
eMBB,4,3,88.83333333333333,1508.6833333333334,1727.6666666666667,15,80
eMBB,4,4,88.83333333333333,2263.05,1727.6666666666667,15,80
eMBB,4,5,88.83333333333333,3017.4333333333334,2344.1666666666665,15,80
eMBB,4,6,88.83333333333333,3771.75,2431.6666666666665,15,80
eMBB,4,7,88.83333333333333,4526.116666666667,2771.1666666666665,15,80
eMBB,4,8,88.83333333333333,5280.5,4637.0,15,80
eMBB,4,9,88.83333333333333,6034.866666666667,6142.0,15,80
eMBB,4,10,88.83333333333333,6789.25,6144.5,15,80
eMBB,4,11,88.83333333333333,7543.5666666666675,6144.5,15,80
eMBB,4,12,88.83333333333333,8297.933333333332,7413.666666666667,15,80
eMBB,4,13,88.83333333333333,9052.316666666668,7413.666666666667,15,80
eMBB,4,14,88.83333333333333,9806.7,7413.666666666667,15,80
eMBB,4,15,88.83333333333333,10561.0,7413.666666666667,15,80
eMBB,4,16,88.83333333333333,11315.383333333333,7413.666666666667,15,80
eMBB,4,17,88.83333333333333,12069.75,7413.666666666667,15,80
eMBB,4,18,88.83333333333333,12824.133333333333,7413.666666666667,15,80
eMBB,4,19,88.83333333333333,13578.516666666666,7413.666666666667,15,80
eMBB,4,20,88.83333333333333,13578.516666666666,7413.666666666667,15,80
eMBB,5,1,91.33333333333333,0.0,0.0,15,20
eMBB,5,2,91.33333333333333,775.55,865.5,15,40
eMBB,5,3,91.33333333333333,1551.1166666666666,953.5,15,80
eMBB,5,4,91.33333333333333,2326.7166666666667,4998.333333333333,15,80
eMBB,5,5,91.33333333333333,3102.3,6108.666666666667,15,80
eMBB,5,6,91.33333333333333,3877.9166666666665,6108.666666666667,15,80
eMBB,5,7,91.33333333333333,4653.483333333334,6178.666666666667,15,80
eMBB,5,8,91.33333333333333,5429.1,6445.5,15,80
eMBB,5,9,91.33333333333333,6204.666666666666,6445.5,15,80
