Iteration,Step,Throughput,Latency,PacketLoss,txPower,channelWidth
1,1,55.44444444444444,0.0,0.0,15,20
1,2,55.44444444444444,288.85555555555555,575.1666666666666,15,20
1,3,55.44444444444444,577.7666666666667,884.0,15,20
1,4,55.44444444444444,866.6555555555555,951.2777777777778,15,20
1,5,55.44444444444444,1155.5777777777778,1028.1666666666667,15,20
1,6,55.44444444444444,1444.4777777777776,1538.2777777777778,15,20
1,7,55.44444444444444,1733.3722222222223,1538.2777777777778,15,20
1,8,55.44444444444444,2022.288888888889,1646.0555555555557,15,20
1,9,55.44444444444444,2311.2055555555553,1654.0555555555557,15,20
1,10,55.44444444444444,2600.0944444444444,1655.7777777777778,15,20
1,11,55.44444444444444,2889.011111111111,1657.5555555555557,15,20
1,12,55.44444444444444,3177.9333333333334,1659.5,15,20
1,13,55.44444444444444,3466.811111111111,1661.0555555555557,15,20
1,14,55.44444444444444,3755.7444444444445,1663.0555555555557,15,20
1,15,55.44444444444444,4044.627777777778,1664.7777777777778,15,20
1,16,55.44444444444444,4333.544444444445,1666.6666666666667,15,20
1,17,55.44444444444444,4622.455555555555,1668.388888888889,15,20
1,18,55.44444444444444,4911.355555555556,1670.2222222222222,15,20
1,19,55.44444444444444,5200.25,1671.9444444444443,15,20
1,20,55.44444444444444,5200.25,1671.9444444444443,15,20
2,1,56.388888888888886,0.0,0.0,15,20
2,2,56.388888888888886,282.2555555555556,482.1111111111111,15,20
2,3,56.388888888888886,564.5666666666667,778.6666666666666,15,20
2,4,56.388888888888886,846.8833333333334,2487.5,15,20
2,5,56.388888888888886,1129.1944444444446,3377.9444444444443,15,20
2,6,56.388888888888886,1411.5166666666667,4008.722222222222,15,20
2,7,56.388888888888886,1693.8333333333333,4698.277777777777,15,20
2,8,56.388888888888886,1976.161111111111,5153.388888888889,15,20
2,9,56.388888888888886,2258.4666666666667,5153.555555555556,15,20
2,10,56.388888888888886,2540.7888888888892,5155.444444444444,15,20
2,11,56.388888888888886,2823.1,5256.0,15,20
2,12,56.388888888888886,3105.4222222222224,5257.944444444444,15,20
2,13,56.388888888888886,3387.727777777778,5259.777777777777,15,20
2,14,56.388888888888886,3670.0555555555557,5261.944444444444,15,20
2,15,56.388888888888886,3952.377777777778,5263.888888888889,15,20
2,16,56.388888888888886,4234.688888888889,5263.888888888889,15,20
2,17,56.388888888888886,4516.9944444444445,5265.833333333333,15,20
2,18,56.388888888888886,4799.322222222222,5267.833333333333,15,20
2,19,56.388888888888886,5081.638888888889,5269.722222222223,15,20
2,20,56.388888888888886,5081.638888888889,5269.722222222223,15,20
3,1,56.05555555555556,0.0,0.0,15,20
3,2,56.05555555555556,280.85555555555555,578.6111111111111,15,20
3,3,56.05555555555556,561.7555555555556,825.2777777777778,15,20
3,4,56.05555555555556,842.6444444444445,1043.5555555555557,15,20
3,5,56.05555555555556,1123.5444444444445,1076.5555555555557,15,20
3,6,56.05555555555556,1404.4444444444446,1446.388888888889,15,20
3,7,56.05555555555556,1685.338888888889,1734.888888888889,15,20
3,8,56.05555555555556,1966.238888888889,2160.8888888888887,15,20
3,9,56.05555555555556,2247.15,2162.8888888888887,15,20
3,10,56.05555555555556,2528.0444444444447,2163.6111111111113,15,20
3,11,56.05555555555556,2808.9333333333334,2164.0555555555557,15,20
3,12,56.05555555555556,3089.838888888889,2165.4444444444443,15,20
3,13,56.05555555555556,3370.7222222222217,2167.1111111111113,15,20
3,14,56.05555555555556,3651.65,2169.277777777778,15,20
3,15,56.05555555555556,3932.5444444444447,2171.277777777778,15,20
3,16,56.05555555555556,4213.4222222222215,2172.1666666666665,15,20
3,17,56.05555555555556,4494.333333333334,2172.6111111111113,15,20
3,18,56.05555555555556,4775.238888888889,2174.5555555555557,15,20
3,19,56.05555555555556,5056.138888888889,2176.4444444444443,15,20
3,20,56.05555555555556,5056.138888888889,2176.4444444444443,15,20
4,1,55.55555555555556,0.0,0.0,15,20
4,2,55.55555555555556,286.96666666666664,538.0,15,20
4,3,55.55555555555556,573.9888888888888,1005.7777777777778,15,20
4,4,55.55555555555556,861.0222222222222,2655.8888888888887,15,20
4,5,55.55555555555556,1148.0277777777778,2657.5555555555557,15,20
4,6,55.55555555555556,1435.05,3179.5,15,20
4,7,55.55555555555556,1722.0833333333333,3632.1666666666665,15,20
4,8,55.55555555555556,2009.1111111111109,3632.9444444444443,15,20
4,9,55.55555555555556,2296.1222222222223,3633.8333333333335,15,20
4,10,55.55555555555556,2583.1444444444446,3635.277777777778,15,20
4,11,55.55555555555556,2870.166666666667,3637.1666666666665,15,20
4,12,55.55555555555556,3157.1944444444443,3638.8888888888887,15,20
4,13,55.55555555555556,3444.2,3640.6666666666665,15,20
4,14,55.55555555555556,3731.227777777778,3642.6111111111113,15,20
4,15,55.55555555555556,4018.261111111111,3644.5,15,20
4,16,55.55555555555556,4305.277777777778,3646.3333333333335,15,20
4,17,55.55555555555556,4592.3,3647.9444444444443,15,20
4,18,55.55555555555556,4879.322222222222,3649.8888888888887,15,20
4,19,55.55555555555556,5166.338888888889,3651.6111111111113,15,20
4,20,55.55555555555556,5166.338888888889,3651.6111111111113,15,20
5,1,55.611111111111114,0.0,0.0,15,20
5,2,55.611111111111114,286.97222222222223,573.1111111111111,15,20
5,3,55.611111111111114,574.0,701.2222222222222,15,20
5,4,55.611111111111114,861.0166666666667,999.6111111111111,15,20
5,5,55.611111111111114,1148.0388888888888,1847.3333333333333,15,20
5,6,55.611111111111114,1435.0555555555554,2432.3333333333335,15,20
