Slice,Iteration,Step,Reward,Pe,Latency,Throughput,PTX,Bw
eMBB,1,1,-100,0.01678063925027467,3.8100332206111447,78.67824178902366,20,20
eMBB,1,2,-100,0.00791158895755393,9.828765968544243,59.7730919675002,20,10.0
eMBB,1,3,-100,0.001953647792530687,6.0787122057574265,75.19024610690452,20,20.0
eMBB,1,4,-100,0.010975726697361932,5.193016108919556,74.45846754564265,20,20.0
eMBB,1,5,-100,0.016707242843932765,6.294043879805588,51.75685130847912,20,40.0
eMBB,1,6,-100,0.02833451043331708,6.906099097151614,10.051427605472945,19,40.0
eMBB,1,7,-100,0.013350250734331097,7.992166484944042,85.9258278140143,19,40.0
eMBB,1,8,-100,0.004424135269177834,6.832038239664738,18.053738595070705,19,40.0
eMBB,1,9,-100,0.020939683435412002,9.67020895821491,13.439053954249726,19,20.0
eMBB,1,10,-100,0.01922094380208027,5.5984410361071655,80.7536591054188,19,20.0
eMBB,1,11,37.865509727210686,0.000969717202740986,6.034619934317257,38.468971720642415,19,10.0
eMBB,1,12,-100,0.015798644603177033,7.134162081307713,93.1715384620435,19,20.0
eMBB,1,13,-100,0.02071832234235512,8.700074991789887,42.4971597973628,19,40.0
eMBB,1,14,-100,0.02407284783721181,9.881094683155897,37.06425373693779,18,40.0
eMBB,1,15,-100,0.017250402258709985,3.955342462652903,15.740360190946722,18,40.0
eMBB,1,16,-100,0.007292305833119716,8.69592901548943,65.30641475006576,19,40.0
eMBB,1,17,-100,0.028783652536504133,1.6554781477195717,91.01579533002717,19,40.0
eMBB,1,18,-100,0.01713944962180121,4.8465381425584635,80.32522944494201,20,40.0
eMBB,1,19,-100,0.0058328086493703215,8.444555009421691,58.27156213438092,19,40.0
eMBB,1,20,-100,0.013479798201288843,1.2333828028147495,91.25657311887498,19,40.0
eMBB,1,21,-100,0.00662338448853784,6.4952496359488805,89.59193994329152,19,20.0
eMBB,1,22,-100,0.025616634033825473,4.988173287481809,96.91844783156084,19,40.0
eMBB,1,23,-100,0.017608208971045893,2.2427062596133194,32.84384771683924,19,80.0
eMBB,1,24,-100,0.01215480332959583,9.004423111616282,62.77492511636841,19,80.0
eMBB,1,25,-100,0.00904702540618226,1.0480241208293086,49.594057873693096,18,80.0
eMBB,1,26,-100,0.005301509842132762,2.4023755267319737,79.868508320922,17,80.0
eMBB,1,27,-100,0.026631693709095502,4.390288922372132,93.52324838658723,18,80.0
eMBB,1,28,-100,0.02374937650802905,5.405819647896657,64.9330507272357,18,80.0
eMBB,1,29,-100,0.012746487408121437,2.0958093714886705,33.324424767863654,18,80.0
eMBB,1,30,-100,0.007891848845993452,7.828282674793245,44.46095349709112,17,80.0
eMBB,1,31,-100,0.002032126385628795,4.411686863266246,28.05183409335102,17,160.0
eMBB,1,32,-100,0.006419535681924077,6.132088461246385,78.16703447169398,17,80.0
eMBB,1,33,-100,0.02437458276753707,3.64871458501122,65.26804655397736,17,80.0
eMBB,1,34,-100,0.02349416557582295,8.833483678990985,38.10433428550167,16,80.0
eMBB,1,35,-100,0.004726105323899816,1.356118669620773,43.84122164933688,15,80.0
eMBB,1,36,-100,0.022913332280140607,5.716531085898545,50.043140525289786,14,80.0
eMBB,1,37,-100,0.028460118663671385,8.141061678595232,35.75098822765217,13,80.0
eMBB,1,38,-100,0.010161782334899477,9.595162243268678,68.56461580303008,13,160.0
eMBB,1,39,-100,0.012239677445361703,6.316879673510024,22.978500395714004,14,160.0
eMBB,1,40,-100,0.02366690830123497,6.1352800495710955,75.4613258997201,14,320.0
eMBB,1,41,-100,0.025158167481051617,8.940208471414373,84.09718559204272,14,320.0
eMBB,1,42,-100,0.023638901731300132,8.099066292521048,71.44768021532113,14,320.0
eMBB,1,43,-100,0.002413228181763307,3.201994296839036,22.97838779099083,14,640.0
eMBB,1,44,-100,0.025693845264690013,5.440464495362114,52.19402894703111,14,640.0
eMBB,1,45,-100,0.015615801457004549,5.422561122241338,10.222997604557587,15,640.0
eMBB,1,46,-100,0.0026749560879346236,9.755425542258148,51.466306252055624,14,640.0
eMBB,1,47,-100,0.005670328783907807,6.4255822569825645,34.65102095077473,14,640.0
eMBB,1,48,-100,0.0027469056472095715,1.839616675109529,21.518690345747974,14,320.0
eMBB,1,49,-100,0.022912371684328657,9.70177235159708,51.772986704244545,15,320.0
eMBB,1,50,-100,0.012569140029773848,4.431320304752219,50.4794648425322,16,320.0
eMBB,1,51,-100,0.007679310511234711,3.0125350726767186,39.651737293300386,16,320.0
eMBB,1,52,-100,0.008252291421420789,9.553687306560061,17.310233776615153,16,160.0
eMBB,1,53,-100,0.019884102160145245,2.1399615950650883,75.83188227315075,16,160.0
eMBB,1,54,-100,0.01537020372310608,2.379401804731445,21.536819685260213,16,320.0
eMBB,1,55,-100,0.012093726674731572,2.6134244821310095,24.652366635452225,16,160.0
eMBB,1,56,-100,0.02982229468421335,5.916606765105981,37.70340402129698,16,160.0
eMBB,1,57,-100,0.003456354703857806,9.71206410096999,49.2071927249909,16,160.0
eMBB,1,58,-100,0.024037706910105126,4.13256301405914,52.067732729940914,17,160.0
eMBB,1,59,-100,0.022755160067043135,8.790743677787994,58.728592002445545,18,160.0
eMBB,1,60,-100,0.013617867171475003,9.334307680312996,10.577997955873672,18,160.0
eMBB,1,61,-100,0.01883976154428151,7.374293719705619,67.91707279410502,18,160.0
eMBB,1,62,-100,0.027187597145647904,7.372854153418243,69.58867152979467,18,320.0
eMBB,1,63,-100,0.006902664060846038,9.296443796956483,43.47360197756541,19,320.0
eMBB,1,64,-100,0.011352980121657277,9.376238552638336,54.28141959580724,19,320.0
eMBB,1,65,-100,0.01776625391958941,8.842918912973868,56.14332887663696,20,320.0
eMBB,1,66,-100,0.024693837081424898,9.53826765036842,32.92160167044199,20,160.0
eMBB,1,67,-100,0.0047263294673554855,9.24107413320887,97.42434781995335,20,80.0
eMBB,1,68,-100,0.028255898773980475,7.0737480005062405,51.520602255552824,20,40.0
eMBB,1,69,-100,0.017335516477210718,4.3838608903642635,10.75185170095123,20,80.0
eMBB,1,70,-100,0.007973158706570813,8.789627140427388,22.226553791431094,20,40.0
eMBB,1,71,-100,0.002360492822142804,5.877283492088353,62.07559781062347,20,40.0
eMBB,1,72,-100,0.005791819958311314,5.0141013573737165,97.78534259610406,20,80.0
eMBB,1,73,-100,0.02098704414274253,3.239850585204488,50.048408836332584,19,80.0
eMBB,1,74,-100,0.02432108708848211,7.05962560459641,70.60988081914812,19,160.0
eMBB,1,75,-100,0.0025502836884608374,4.511454215515871,92.13964583601859,20,160.0
eMBB,1,76,-100,0.004578427304199082,5.448045659593349,59.46880247825094,20,320.0
eMBB,1,77,-100,0.009912314423454964,7.006637158431071,14.28116739059859,20,320.0
eMBB,1,78,-100,0.020626703720799326,5.47740506880159,86.5748292336996,21,320.0
eMBB,1,79,-100,0.01920671251116718,7.5578815220766895,59.54268448951123,21,160.0
eMBB,1,80,-100,0.011096158463161355,5.921374891856358,55.46966826296465,21,320.0
