Iteration,Step,Reward,Pe,Latency,Throughput,PTX,Bw
1,1,-100,0.02351538699639571,6.80691204679685,99.0089755768776,20,40
1,2,-100,0.023187549289147343,5.979126779585332,56.27656232754901,21,40
1,3,-100,0.017638066540561735,5.001115347413302,72.97994096078611,20,40
1,4,-100,0.009812757627978565,9.293451203396028,53.83403060435504,19,40
1,5,-100,0.002341245786028427,6.032293667197149,72.27548282373914,19,80
1,6,-100,0.015911688321979933,8.650337119663257,77.00306156029674,19,40.0
1,7,-100,0.028349529625020596,6.999025774501835,52.81197446702504,19,80.0
1,8,-100,0.024975233759142398,4.86757383887487,72.42972012011276,20,80.0
1,9,-100,0.027608052705703955,2.6331404029092687,84.86531569890792,19,80.0
1,10,-100,0.026924850608931072,8.582511147695923,96.66942876056186,19,40.0
1,11,-100,0.002433282177788909,7.7901994744705165,72.85672737433842,19,20.0
1,12,-100,0.010312551688192817,9.89252393183746,80.97614703311558,20,20.0
1,13,-100,0.005248599442231468,5.824369145745565,53.96151493941956,19,20.0
1,14,-100,0.014216460035280053,1.100181150697781,78.41400627051553,18,20.0
1,15,-100,0.01938478334807784,4.3140731714971094,52.59238847206251,18,40.0
1,16,-100,0.014272863451297227,6.746601378395452,87.37944922676093,18,80.0
1,17,-100,0.001176916581558675,3.5933468094884313,90.55627522176741,18,160.0
1,18,-100,0.00699270208967801,1.2338922633803535,97.3794273093354,18,320.0
1,19,-100,0.023987919284826208,7.155463238887403,75.27930684997628,19,320.0
1,20,-100,0.009814507495383464,8.436683992880305,66.69315723587988,19,640.0
1,21,-100,0.001343296680644732,3.608950646088337,68.49796517899014,18,640.0
1,22,-100,0.023996818024238337,2.476727954845901,53.64132638853681,18,320.0
1,23,-100,0.003798615992477631,2.565000250935591,71.1237759482409,19,320.0
1,24,-100,0.010218243763175271,3.9276786555702805,56.413764875553085,20,320.0
1,25,-100,0.027150975809237424,8.280088676339844,64.83174823986612,20,160.0
1,26,-100,0.02300389194814089,4.619303991962908,78.78180233758312,20,320.0
1,27,-100,0.007974529495837726,9.828636112602954,75.06984041464445,20,640.0
1,28,-100,0.01636059477543132,9.731810745263802,67.52229908781928,21,640.0
1,29,-100,0.001585385164850008,6.9884175412121525,60.3379698527641,20,640.0
1,30,-100,0.025030108473467812,7.0577140497297695,86.93212226285834,20,320.0
1,31,-100,0.0047965956393939465,4.578748244102019,78.0114883338249,20,160.0
1,32,-100,0.0268353356781723,2.829971549629242,75.42253114830507,19,160.0
1,33,-100,0.004092176099635364,9.330964678001644,80.13498041881273,19,80.0
1,34,-100,0.027407947672741496,2.957956692535474,86.53567340947338,19,40.0
1,35,-100,0.004008553923419902,4.659014548162261,52.680327131242535,19,80.0
1,36,90.00698365578931,0.0006760457360416627,8.219956740590398,90.82897932984835,19,40.0
1,37,-100,0.007875792249153985,9.768249542422547,52.711584106478384,19,20.0
1,38,-100,0.027075561321535352,2.8676093159072384,98.8045914360521,19,40.0
1,39,-100,0.024885959017664033,1.0605799046548245,50.08147713965992,19,80.0
1,40,-100,0.013799818524510907,1.3645392514727948,92.56625805083746,19,40.0
1,41,-100,0.02635160761051419,6.3198666605202956,99.72873256261505,18,40.0
1,42,-100,0.014142458122732402,1.1860383280585824,68.59242906903867,18,80.0
1,43,-100,0.022960726931449287,8.104679033055898,61.65346027672176,18,160.0
1,44,-100,0.01813033656350072,7.114408597647429,89.83398478689325,18,80.0
1,45,-100,0.004305342144500199,6.979321121649918,94.77581223665477,18,40.0
1,46,-100,0.007974995357101944,7.357839875795629,63.03688707409309,18,80.0
1,47,-100,0.009522201721856454,6.637613455564798,57.623664598548615,17,80.0
1,48,-100,0.007454558431464205,1.5179907442804554,99.52173097277303,17,40.0
1,49,-100,0.012451934443578921,5.730465111344218,55.745887937551835,16,40.0
1,50,-100,0.022873619247734924,5.7254838241807695,71.26583715759966,15,40.0
1,51,-100,0.007333767474349575,2.892478354611085,75.28761272611442,15,80.0
1,52,-100,0.007330685618661513,2.7544213157975808,91.7730062310625,15,40.0
1,53,-100,0.010580318120513098,1.2420740393180651,76.72992536491108,16,40.0
1,54,-100,0.006785295247697514,3.6569353687937327,51.244306119632185,17,40.0
1,55,-100,0.008490467341756586,5.7845162480313315,69.05594977063812,16,40.0
1,56,-100,0.019285265436298465,6.299234926845014,84.04299996086239,15,40.0
1,57,-100,0.01285957934794797,5.303690558295385,68.16095154916559,16,40.0
1,58,-100,0.0035268367074562344,6.604565631513823,58.37053582847476,16,80.0
1,59,-100,0.006036571028347872,9.831082547760635,78.66991805431068,16,40.0
1,60,-100,0.006864561087323728,7.658274455059725,54.89432775158803,16,20.0
1,61,-100,0.023321404286625946,1.9405923963449674,58.68417714250707,16,40.0
1,62,-100,0.0239492506850275,7.988894602922731,77.07304330254217,16,80.0
1,63,-100,0.022855121222632974,9.405922075242014,58.66730122394468,17,80.0
1,64,-100,0.008212225561033425,3.611574823921537,66.81036537500063,16,80.0
1,65,-100,0.017789396735362693,8.56443596624654,89.36123776986929,15,80.0
1,66,-100,0.010536212760074755,8.852278950664573,52.718898903339245,15,40.0
1,67,-100,0.0028018000483879023,1.4475742047088116,73.23946366039124,15,80.0
1,68,-100,0.0050254769540707,4.940078289173258,99.4205945173108,15,40.0
1,69,-100,0.002163538181464971,9.77603567887208,54.739157077714296,15,80.0
1,70,-100,0.013679874252943364,3.5596886591863823,80.43086734335508,15,160.0
1,71,-100,0.01334725441698328,8.527855175146822,99.37876732260378,15,320.0
1,72,-100,0.02674831784773951,9.627021901442799,90.38656575645453,16,320.0
1,73,-100,0.004895459864182784,1.5647416413585886,59.616929644281356,16,640.0
1,74,-100,0.006292947743252682,7.159359268534972,59.56858973075299,17,640.0
1,75,-100,0.004071750134586884,3.664048250790998,99.98344214993043,18,640.0
1,76,-100,0.005472451997198598,8.870436459419201,65.76541350490461,18,1280.0
1,77,-100,0.02313732225921707,5.777894771040228,54.07944358606046,18,2560.0
1,78,-100,0.0024429319975666983,8.45810397862499,87.36893667946006,18,1280.0
1,79,-100,0.014708156979537396,7.952347943975039,79.82932196156295,18,640.0
1,80,-100,0.00974623385175856,1.3461362552414031,85.08301130877813,18,320.0
1,81,-100,0.028896905743773103,6.46325263253994,91.28777898231522,18,160.0
1,82,-100,0.016559595341268052,2.8651170714839687,85.01664686060954,18,80.0
1,83,-100,0.02832907427646995,6.799126272951997,82.26484437044653,17,80.0
1,84,-100,0.0027217041110138666,8.762642787258352,78.55435558791763,18,80.0
1,85,-100,0.004876805673092234,5.5890842572536075,99.1420322075688,18,160.0
1,86,-100,0.018707036830588348,3.08721743610538,86.96762510431371,18,80.0
1,87,-100,0.0035449944599565747,8.254810956603864,91.82629315902804,19,80.0
1,88,-100,0.022026059205576973,5.98215080220736,53.31690906797638,19,40.0
1,89,-100,0.028608643576134827,2.8651377888001464,92.63936246995448,20,40.0
1,90,-100,0.011487595321878655,7.581641227021791,87.8920702384614,20,20.0
1,91,-100,0.014467617997064988,3.577527785675063,70.68590006323409,20,40.0
1,92,-100,0.016926736958495735,6.22279201644043,99.24081155570994,21,40.0
1,93,-100,0.02339507522312073,2.732947525364073,57.225347556254476,21,80.0
1,94,-100,0.0124410747734436,6.943493206695694,84.62882602719031,22,80.0
