Iteration,Step,Reward,Pe,Latency,Throughput,PTX,Bw
1,1,-100,0.0027235453653887717,6.5198898813108,97.98902918163003,20,40
1,2,-100,0.008074445511860444,9.349768908304224,90.52778920992273,20,20.0
1,3,-100,0.026911365600793265,3.583601506685074,72.00972330755577,19,20.0
1,4,-100,0.0073531370515611556,4.0997064291464484,51.03510755400857,20,20.0
1,5,-100,0.024220178156836823,5.027246483760804,96.7085264332748,19,20.0
1,6,-100,0.023713621641011668,4.797985936783463,70.52546124422256,19,10.0
1,7,-100,0.011552324438394695,3.088064786510932,90.13299743633661,19,5.0
1,8,-100,0.005896380038447051,5.713492427765555,91.36867509700843,18,5.0
1,9,-100,0.0038433892247902632,8.424863179662761,78.25496422005293,17,5.0
1,10,-100,0.020770560233972783,6.605490287264283,51.26644331778082,16,5.0
1,11,-100,0.02663125183233177,6.959227969402096,88.99574597453366,16,2.5
1,12,-100,0.018387425418923707,9.53849377306526,81.41089135060906,15,2.5
1,13,-100,0.025110874622200435,3.5284817876454433,70.48672571628681,15,1.25
1,14,-100,0.007460982013362167,4.202348633295525,79.49762831017264,15,0.625
1,15,-100,0.014372901049533824,1.8584416563871846,77.21938186881115,15,1.25
1,16,-100,0.0036218095645940197,2.3629657382551574,65.04201723199681,15,0.625
1,17,-100,0.02317377111320765,9.332636782855982,89.17076741893567,16,0.625
1,18,-100,0.002803935005772007,6.180492077719499,62.818819500886654,17,0.625
1,19,-100,0.016283725390260392,4.441500403263409,77.56103582649646,17,0.3125
1,20,-100,0.02901474100726919,4.561942045593818,65.4234314205116,16,0.3125
1,21,-100,0.020932663198465616,1.195619499186302,57.41049968407065,16,0.15625
1,22,-100,0.013510521812017633,4.610496188532405,52.90924463609552,15,0.15625
1,23,-100,0.023775799814825443,8.220340147135394,54.89226517897605,15,0.3125
1,24,-100,0.026310210359080863,1.060706664071137,93.07224186211357,15,0.15625
1,25,-100,0.002258719452996872,8.78053322510738,96.81559860277946,14,0.15625
1,26,-100,0.009106768258194259,9.082008644371339,69.83742228712242,15,0.15625
1,27,-100,0.01950444384923467,3.6044237453055743,62.232571341026386,15,0.3125
1,28,-100,0.0027264223052383923,1.194501552679955,59.93795370309808,14,0.3125
1,29,-100,0.023969777703925717,4.968392858957373,98.52335336122427,15,0.3125
1,30,-100,0.006486736378977433,1.4973374510419581,51.879314801750894,14,0.3125
1,31,-100,0.0031094901650179003,6.977406014521183,91.70239965917702,13,0.3125
1,32,-100,0.008614494140889484,9.777054104068615,78.60929889485433,13,0.625
1,33,-100,0.0049976518869693475,6.472492332889181,50.5937736838244,14,0.625
1,34,-100,0.028064891572922003,8.345391577788945,83.15361473394674,15,0.625
1,35,-100,0.009423746377551716,1.14744767542388,83.94897752332741,15,1.25
1,36,-100,0.019919235825845347,9.141027711013875,72.86519901418922,15,2.5
1,37,-100,0.008252829016794772,5.539914982889644,53.83238863185642,14,2.5
1,38,-100,0.015619619115122213,2.404473110810783,79.35816584458377,14,1.25
1,39,-100,0.01648085487878333,5.6862845437106,77.16709266875098,15,1.25
1,40,-100,0.019551107187980886,2.226087912174894,50.531582127921695,16,1.25
1,41,-100,0.025699427116617313,1.8128602320013445,94.11359100309392,16,2.5
1,42,-100,0.01879675314922946,6.199652388179251,54.140005280407586,17,2.5
1,43,-100,0.024043282720036984,4.911107854526544,91.84100820344119,16,2.5
1,44,-100,0.0033893226590475762,3.45398273447344,74.50970192441622,17,2.5
1,45,-100,0.007522852050899391,6.75153306800824,52.09624008126821,18,2.5
1,46,-100,0.012947014756618032,7.416695584085018,86.76865640301186,18,1.25
1,47,-100,0.00824087621724508,2.3320259823964116,92.10698837926974,17,1.25
1,48,-100,0.010687685353598141,1.2108133901543394,89.986434301102,17,2.5
