Slice,Iteration,Step,Reward,Pe,Latency,Throughput,PTX,Bw
eMBB,1,1,-100,0.029330093654696094,2.8433842570238483,22.925921612010477,20,40
eMBB,1,2,-100,0.024970983018939744,2.607187115165601,60.75122417860904,21,40
eMBB,1,3,-100,0.010621843789786475,9.347630401290617,19.15991457549253,20,40
eMBB,1,4,-100,0.024920810374530495,6.915775669228494,78.15060255745217,20,80
eMBB,1,5,-100,0.019403676465673345,4.583535042314826,16.94043770019443,20,80
eMBB,1,6,-100,0.011957850287844204,6.098152182653181,20.275021473379592,19,80
eMBB,1,7,-100,0.02328316053686078,7.973231159854166,74.50153943507031,20,80
eMBB,1,8,-100,0.02836582972787599,3.124044118604187,50.185938173487365,20,80
eMBB,1,9,-100,0.013733845359489521,5.494031901314183,16.377585751538344,20,160
eMBB,1,10,-100,0.0034634525921361753,1.253712610779506,81.7588741673436,19,160
eMBB,1,11,-100,0.0034286669392731644,8.639197548955629,89.43681590990936,19,320
eMBB,1,12,-100,0.025517352940568446,6.408676072434021,72.87035284655084,18,320
eMBB,1,13,-100,0.026672068740816186,5.9870310328687815,18.4458384776516,17,320
eMBB,1,14,-100,0.025864376090823142,5.219376285021879,92.80679894093132,17,160.0
eMBB,1,15,-100,0.02312820841181202,7.742438309364494,87.34162787885506,18,160.0
eMBB,1,16,-100,0.02750370833335884,9.338306452837003,93.37399565033557,18,160.0
eMBB,1,17,-100,0.00523189229586981,2.872810497781085,70.97769726906367,18,80.0
eMBB,1,18,-100,0.004222542765448034,5.149766125615388,68.39468386616281,18,40.0
eMBB,1,19,-100,0.0247371608082935,5.544234605689374,17.705133506836713,18,20.0
eMBB,1,20,-100,0.027607052357982453,1.7596068784100118,93.91510692801238,18,20.0
eMBB,1,21,-100,0.022089311009582904,1.4903313815681836,25.892940617299097,18,20.0
eMBB,1,22,-100,0.021280706655054823,6.991934159997927,25.732450051413363,18,20.0
eMBB,1,23,-100,0.005792158981341663,3.2472296982454703,67.99827834744588,19,20.0
eMBB,1,24,-100,0.0024874387577273334,1.5283649413693499,25.57703336827696,20,20.0
eMBB,1,25,-100,0.004769239417286577,9.472800786448243,34.82465173675882,21,20.0
eMBB,1,26,-100,0.010095221077886612,2.3379203707566623,53.1655995284029,20,20.0
eMBB,1,27,-100,0.027977365560274626,7.195188756345035,20.872741291227264,20,10.0
eMBB,1,28,-100,0.02400073990735568,4.828522988191837,92.1052329230695,20,10.0
eMBB,1,29,-100,0.004337579622479328,9.414200410912185,24.755616205178264,21,10.0
eMBB,1,30,-100,0.017682641090506948,7.761514293539872,35.536883342272624,21,10.0
eMBB,1,31,-100,0.02576290206774701,6.827232128725111,80.0621746145462,21,20.0
eMBB,1,32,-100,0.01571567537541354,4.888076563522402,65.43860229475845,21,20.0
